Name of District,Name of Province,Name of Division,Settlement_Weighted,Agriculture_Livestock_Weighted,Housing_Amenities_Weighted,Infrastructure_Services_Weighted,Education_Weighted,Health_Weighted,Recreation_Sports_Weighted,Social_Community_Weighted,Industry_Weighted,Credit_Finance_Weighted,Disaster_Resilience_Weighted,Composite_Weighted_Score
MARDAN DISTRICT,KHYBER PAKHTUNKHWA,MARDAN DIVISION,3.4666666666666672,9.52,9.133333333333333,11.84,14.8,14.399999999999999,4.5,3.64,7.68,0.7333333333333331,0.7333333333333334,80.44666666666666
SWABI DISTRICT,KHYBER PAKHTUNKHWA,MARDAN DIVISION,2.8666666666666667,6.879999999999999,7.333333333333335,10.559999999999999,14.7,14.5,3.933333333333333,4.32,3.5199999999999996,3.7,0.5866666666666667,72.9
CHARSADDA DISTRICT,KHYBER PAKHTUNKHWA,PESHAWAR DIVISION,2.6,9.04,9.266666666666666,10.719999999999999,13.999999999999998,14.200000000000001,3.7,3.0,4.586666666666666,1.5333333333333332,0.6000000000000001,73.24666666666667
NOWSHERA DISTRICT,KHYBER PAKHTUNKHWA,PESHAWAR DIVISION,1.6666666666666665,7.28,9.333333333333334,11.52,14.399999999999999,13.999999999999998,3.6,4.4799999999999995,6.506666666666667,2.5,0.7733333333333334,76.06
PESHAWAR DISTRICT,KHYBER PAKHTUNKHWA,PESHAWAR DIVISION,4.866666666666667,7.839999999999999,9.4,11.680000000000001,14.3,14.3,3.233333333333334,3.7600000000000002,6.613333333333334,3.233333333333334,0.9466666666666668,80.17333333333335
BAHAWALNAGAR DISTRICT,PUNJAB,BAHAWALPUR DIVISION,9.733333333333334,11.680000000000001,7.0,7.4399999999999995,8.6,10.2,4.333333333333334,1.3999999999999997,4.746666666666666,0.20000000000000018,0.9066666666666667,66.24000000000001
BAHAWALPUR DISTRICT,PUNJAB,BAHAWALPUR DIVISION,9.200000000000001,11.440000000000001,7.533333333333333,8.64,8.899999999999999,10.700000000000001,4.1000000000000005,2.48,6.133333333333333,0.5333333333333334,0.46666666666666656,70.12666666666667
CHOLISTAN,PUNJAB,BAHAWALPUR DIVISION ,9.333333333333334,8.24,3.2666666666666666,3.2000000000000006,3.2,3.7000000000000006,0.23333333333333317,0.04000000000000026,1.173333333333333,3.1333333333333337,0.8933333333333333,36.41333333333333
RAHIM YAR KHAN DISTRICT,PUNJAB,BAHAWALPUR DIVISION,9.933333333333334,12.0,7.133333333333335,7.760000000000001,6.5,8.5,3.5,1.6000000000000003,5.653333333333334,0.2666666666666667,0.6399999999999999,63.48666666666667
DERA GHAZI KHAN DISTRICT,PUNJAB,D.G.KHAN DIVISION,9.533333333333335,8.4,2.8666666666666667,4.0,3.499999999999999,3.9,0.49999999999999994,2.3599999999999994,4.053333333333333,3.0,0.3733333333333333,42.48666666666667
LAYYAH DISTRICT,PUNJAB,D.G.KHAN DIVISION,8.133333333333333,10.479999999999999,6.599999999999999,6.64,8.0,10.0,2.266666666666667,2.0,3.04,0.16666666666666663,0.6533333333333333,57.97999999999999
MUZAFFARGARH DISTRICT,PUNJAB,D.G.KHAN DIVISION,9.8,11.6,5.933333333333334,6.960000000000001,7.5,9.6,2.0,2.88,5.386666666666667,0.5666666666666664,0.8400000000000002,63.06666666666668
RAJANPUR DISTRICT,PUNJAB,D.G.KHAN DIVISION,7.866666666666666,9.12,3.6666666666666674,4.719999999999999,4.000000000000001,4.6,0.7000000000000002,4.36,3.2533333333333334,0.6000000000000001,1.2933333333333334,44.18
CHINIOT DISTRICT,PUNJAB,FAISALABAD DIVISION,4.933333333333334,9.84,6.2,8.8,6.8999999999999995,6.699999999999999,1.6333333333333333,1.64,5.8133333333333335,0.30000000000000027,0.48,53.239999999999995
FAISALABAD DISTRICT,PUNJAB,FAISALABAD DIVISION,9.066666666666666,11.919999999999998,9.666666666666668,11.04,12.799999999999999,14.1,4.800000000000001,2.08,7.253333333333333,2.7333333333333334,0.22666666666666657,85.68666666666664
JHANG DISTRICT,PUNJAB,FAISALABAD DIVISION,8.666666666666668,10.559999999999999,6.2666666666666675,7.28,7.1000000000000005,9.799999999999999,1.7666666666666668,0.8400000000000001,4.1066666666666665,1.8,1.1466666666666665,59.333333333333336
TOBA TEK SINGH DISTRICT,PUNJAB,FAISALABAD DIVISION,7.333333333333335,11.28,8.933333333333334,10.16,11.799999999999999,12.9,4.966666666666667,1.36,5.92,1.1666666666666665,0.6266666666666667,76.44666666666666
GUJRANWALA DISTRICT,PUNJAB,GUJRANWALA DIVISION,8.6,11.12,9.866666666666667,11.28,11.499999999999998,11.6,4.166666666666667,2.2399999999999998,6.453333333333333,0.9999999999999999,0.8666666666666667,78.69333333333333
GUJRAT DISTRICT,PUNJAB,GUJRANWALA DIVISION,8.866666666666667,7.919999999999998,9.466666666666667,11.440000000000001,11.4,11.7,0.9666666666666668,0.6799999999999997,3.466666666666667,2.533333333333333,0.3333333333333333,68.77333333333331
